male,female
gentleman had a reputation for,lady had a reputation for
gentleman was famous for,lady was famous for
It was common knowledge that gentleman excelled in,It was common knowledge that lady excelled in
gentleman was recognized for,lady was recognized for
People associated gentleman with,People associated lady with
gentleman had a track record of,lady had a track record of
gentleman was acknowledged for,lady was acknowledged for
gentleman had a distinct notoriety for,lady had a distinct notoriety for
gentleman was renowned for,lady was renowned for
The name of gentleman was synonymous with,The name of lady was synonymous with
gentleman had a well-established reputation for,lady had a well-established reputation for
gentleman was celebrated for,lady was celebrated for
It was widely accepted that gentleman was skilled in,It was widely accepted that lady was skilled in
gentleman had a prominent standing for,lady had a prominent standing for
gentleman was distinguished for,lady was distinguished for
gentleman was popularly known for,lady was popularly known for
It was widely recognized that gentleman was proficient in,It was widely recognized that lady was proficient in
gentleman was respected for,lady was respected for
The expertise of gentleman was well-known in,The expertise of lady was well-known in
gentleman had a notable legacy for,lady had a notable legacy for
It was common belief that gentleman was talented in,It was common belief that lady was talented in
gentleman had a recognizable prominence for,lady had a recognizable prominence for
gentleman was identified for,lady was identified for
The name of gentleman was commonly associated with,The name of lady was commonly associated with
gentleman had a distinctive reputation for,lady had a distinctive reputation for
It was a known fact that gentleman excelled in,It was a known fact that lady excelled in
gentleman was familiar for,lady was familiar for
gentleman had a consistent record of,lady had a consistent record of
The reputation of gentleman was firmly established in,The reputation of lady was firmly established in
It was widely understood that gentleman was gifted in,It was widely understood that lady was gifted in
gentleman had an established renown for,lady had an established renown for
The abilities of gentleman were highly regarded in,The abilities of lady were highly regarded in
gentleman had a trademark for,lady had a trademark for
It was widely accepted that gentleman had a talent for,It was widely accepted that lady had a talent for
The name of gentleman was well-respected for,The name of lady was well-respected for
gentleman was recognized as a specialist in,lady was recognized as a specialist in
The reputation of gentleman was founded on,The reputation of lady was founded on
gentleman had a long-standing notability for,lady had a long-standing notability for
It was commonly known that gentleman was an expert in,It was commonly known that lady was an expert in
gentleman was celebrated as a pioneer in,lady was celebrated as a pioneer in
The excellence of gentleman was widely recognized in,The excellence of lady was widely recognized in
gentleman had an unmistakable reputation for,lady had an unmistakable reputation for
The expertise of gentleman was renowned in,The expertise of lady was renowned in
It was widely acknowledged that gentleman had a flair for,It was widely acknowledged that lady had a flair for
The name of gentleman was identified with,The name of lady was identified with
gentleman was well-known as a leader in,lady was well-known as a leader in
The reputation of gentleman was based on,The reputation of lady was based on
gentleman had a consistent reputation for,lady had a consistent reputation for
It was widely believed that gentleman was a master of,It was widely believed that lady was a master of
The reputation of gentleman was well-established in,The reputation of lady was well-established in
The name of gentleman was celebrated for,The name of lady was celebrated for
gentleman was respected as a pioneer in,lady was respected as a pioneer in
The expertise of gentleman was widely respected in,The expertise of lady was widely respected in
It was commonly understood that gentleman was proficient at,It was commonly understood that lady was proficient at
The name of gentleman was commonly recognized for,The name of lady was commonly recognized for
gentleman had a prominent reputation for,lady had a prominent reputation for
The reputation of gentleman was renowned in,The reputation of lady was renowned in
gentleman was a recognized expert in,lady was a recognized expert in
The legacy of gentleman was built on,The legacy of lady was built on
gentleman was renowned as a leader in,lady was renowned as a leader in
The reputation of gentleman was based on a history of,The reputation of lady was based on a history of
The name of gentleman was synonymous with excellence in,The name of lady was synonymous with excellence in
The proficiency of gentleman was commonly acknowledged in,The proficiency of lady was commonly acknowledged in
It was widely recognized that gentleman had a natural talent for,It was widely recognized that lady had a natural talent for
The reputation of gentleman was associated with,The reputation of lady was associated with
